glyph_name,ps_name,sort_final
recorderRH1stDoubleHoleLeftClosed,uniE327,384
recorderRH1stDoubleHoleRightClosed,uniE328,385
recorderRH2ndDoubleHoleLeftClosed,uniE329,386
recorderRH2ndDoubleHoleRightClosed,uniE32A,387
recorderBellKeyClosed,uniE32B,388
recorderLHThumbHalfClosedLeft,uniE32C,389
recorderLH1stFingerHalfClosedLeft,uniE32D,390
recorderLH2ndFingerHalfClosedLeft,uniE32E,391
recorderLH3rdFingerHalfClosedLeft,uniE32F,392
recorderRH1stFingerHalfClosedLeft,uniE330,393
recorderRH2ndFingerHalfClosedLeft,uniE331,394
recorderRH1stDoubleHoleLeftHalfClosedLeft,uniE332,395
recorderRH1stDoubleHoleRightHalfClosedLeft,uniE333,396
recorderRH2ndDoubleHoleLeftHalfClosedLeft,uniE334,397
recorderRH2ndDoubleHoleRightHalfClosedLeft,uniE335,398
recorderLHThumbHalfClosedRight,uniE336,399
recorderLH1stFingerHalfClosedRight,uniE337,400
recorderLH2ndFingerHalfClosedRight,uniE338,401
recorderLH3rdFingerHalfClosedRight,uniE339,402
recorderRH1stFingerHalfClosedRight,uniE33A,403
recorderRH2ndFingerHalfClosedRight,uniE33B,404
recorderRH1stDoubleHoleLeftHalfClosedRight,uniE33C,405
recorderRH1stDoubleHoleRightHalfClosedRight,uniE33D,406
recorderRH2ndDoubleHoleLeftHalfClosedRight,uniE33E,407
recorderRH2ndDoubleHoleRightHalfClosedRight,uniE33F,408
recorderLHThumbQuarterClosedLeft,uniE340,409
recorderLH1stFingerQuarterClosedLeft,uniE341,410
recorderLH2ndFingerQuarterClosedLeft,uniE342,411
recorderLH3rdFingerQuarterClosedLeft,uniE343,412
recorderRH1stFingerQuarterClosedLeft,uniE344,413
recorderRH2ndFingerQuarterClosedLeft,uniE345,414
recorderRH1stDoubleHoleLeftQuarterClosedLeft,uniE346,415
recorderRH1stDoubleHoleRightQuarterClosedLeft,uniE347,416
recorderRH2ndDoubleHoleLeftQuarterClosedLeft,uniE348,417
recorderRH2ndDoubleHoleRightQuarterClosedLeft,uniE349,418
recorderLHThumbQuarterClosedRight,uniE34A,419
recorderLH1stFingerQuarterClosedRight,uniE34B,420
recorderLH2ndFingerQuarterClosedRight,uniE34C,421
recorderLH3rdFingerQuarterClosedRight,uniE34D,422
recorderRH1stFingerQuarterClosedRight,uniE34E,423
recorderRH2ndFingerQuarterClosedRight,uniE34F,424
recorderRH1stDoubleHoleLeftQuarterClosedRight,uniE350,425
recorderRH1stDoubleHoleRightQuarterClosedRight,uniE351,426
recorderRH2ndDoubleHoleLeftQuarterClosedRight,uniE352,427
recorderRH2ndDoubleHoleRightQuarterClosedRight,uniE353,428
recorderLHThumbTrill,uniE354,429
recorderLH1stFingerTrill,uniE355,430
recorderLH2ndFingerTrill,uniE356,431
recorderLH3rdFingerTrill,uniE357,432
recorderRH1stFingerTrill,uniE358,433
recorderRH2ndFingerTrill,uniE359,434
recorderRH1stDoubleHoleLeftTrill,uniE35A,435
recorderRH1stDoubleHoleRightTrill,uniE35B,436
recorderRH2ndDoubleHoleLeftTrill,uniE35C,437
recorderRH2ndDoubleHoleRightTrill,uniE35D,438
woodwindChart,uniE3C0,439
woodwindLH1stFingerHigher,uniE3C1,440
woodwindLHThumbHigher,uniE3C2,441
woodwindLH1stFinger,uniE3C3,442
woodwindLHThumb,uniE3C4,443
woodwindRHThumb,uniE3C5,444
woodwindRH3rdFinger,uniE3C6,445
woodwindRH4thFinger,uniE3C7,446
woodwindLH1stFingerHigherClosed,uniE3CD,447
woodwindLHThumbHigherClosed,uniE3CE,448
woodwindLH1stFingerClosed,uniE3CF,449
woodwindLHThumbClosed,uniE3D0,450
woodwindLH2ndFingerClosed,uniE3D1,451
woodwindLH3rdFingerClosed,uniE3D2,452
woodwindRH1stFingerClosed,uniE3D3,453
woodwindRHThumbClosed,uniE3D4,454
woodwindRH2ndFingerClosed,uniE3D5,455
woodwindRH3rdFingerClosed,uniE3D6,456
woodwindRH4thFingerClosed,uniE3D7,457
woodwindLH1stFingerHigherHalfClosedLeft,uniE3DD,458
woodwindLHThumbHigherHalfClosedLeft,uniE3DE,459
woodwindLH1stFingerHalfClosedLeft,uniE3DF,460
woodwindLHThumbHalfClosedLeft,uniE3E0,461
woodwindLH2ndFingerHalfClosedLeft,uniE3E1,462
woodwindLH3rdFingerHalfClosedLeft,uniE3E2,463
woodwindRH1stFingerHalfClosedLeft,uniE3E3,464
woodwindRHThumbHalfClosedLeft,uniE3E4,465
woodwindRH2ndFingerHalfClosedLeft,uniE3E5,466
woodwindRH3rdFingerHalfClosedLeft,uniE3E6,467
woodwindRH4thFingerHalfClosedLeft,uniE3E7,468
woodwindLH1stFingerHigherHalfClosedRight,uniE3ED,469
woodwindLHThumbHigherHalfClosedRight,uniE3EE,470
woodwindLH1stFingerHalfClosedRight,uniE3EF,471
woodwindLHThumbHalfClosedRight,uniE3F0,472
woodwindLH2ndFingerHalfClosedRight,uniE3F1,473
woodwindLH3rdFingerHalfClosedRight,uniE3F2,474
woodwindRH1stFingerHalfClosedRight,uniE3F3,475
woodwindRHThumbHalfClosedRight,uniE3F4,476
woodwindRH2ndFingerHalfClosedRight,uniE3F5,477
woodwindRH3rdFingerHalfClosedRight,uniE3F6,478
woodwindRH4thFingerHalfClosedRight,uniE3F7,479
woodwindLH1stFingerHigherQuarterClosedLeft,uniE3FD,480
woodwindLHThumbHigherQuarterClosedLeft,uniE3FE,481
woodwindLH1stFingerQuarterClosedLeft,uniE3FF,482
woodwindLHThumbQuarterClosedLeft,uniE400,483
woodwindLH2ndFingerQuarterClosedLeft,uniE401,484
woodwindLH3rdFingerQuarterClosedLeft,uniE402,485
woodwindRH1stFingerQuarterClosedLeft,uniE403,486
woodwindRHThumbQuarterClosedLeft,uniE404,487
woodwindRH2ndFingerQuarterClosedLeft,uniE405,488
woodwindRH3rdFingerQuarterClosedLeft,uniE406,489
woodwindRH4thFingerQuarterClosedLeft,uniE407,490
woodwindLH1stFingerHigherQuarterClosedRight,uniE40D,491
woodwindLHThumbHigherQuarterClosedRight,uniE40E,492
woodwindLH1stFingerQuarterClosedRight,uniE40F,493
woodwindLHThumbQuarterClosedRight,uniE410,494
woodwindLH2ndFingerQuarterClosedRight,uniE411,495
woodwindLH3rdFingerQuarterClosedRight,uniE412,496
woodwindRH1stFingerQuarterClosedRight,uniE413,497
woodwindRHThumbQuarterClosedRight,uniE414,498
woodwindRH2ndFingerQuarterClosedRight,uniE415,499
woodwindRH3rdFingerQuarterClosedRight,uniE416,500
woodwindRH4thFingerQuarterClosedRight,uniE417,501
woodwindLH1stFingerHigherShaded,uniE41D,502
woodwindLHThumbHigherShaded,uniE41E,503
woodwindLH1stFingerShaded,uniE41F,504
woodwindLHThumbShaded,uniE420,505
woodwindLH2ndFingerShaded,uniE421,506
woodwindLH3rdFingerShaded,uniE422,507
woodwindRH1stFingerShaded,uniE423,508
woodwindRHThumbShaded,uniE424,509
woodwindRH2ndFingerShaded,uniE425,510
woodwindRH3rdFingerShaded,uniE426,511
woodwindRH4thFingerShaded,uniE427,512
woodwindLH1stFingerHigherTrill,uniE42D,513
woodwindLHThumbHigherTrill,uniE42E,514
woodwindLH1stFingerTrill,uniE42F,515
woodwindLHThumbTrill,uniE430,516
woodwindLH2ndFingerTrill,uniE431,517
woodwindLH3rdFingerTrill,uniE432,518
woodwindRH1stFingerTrill,uniE433,519
woodwindRHThumbTrill,uniE434,520
woodwindRH2ndFingerTrill,uniE435,521
woodwindRH3rdFingerTrill,uniE436,522
woodwindRH4thFingerTrill,uniE437,523
woodwindOverblownOctave1,uniE43D,524
woodwindOverblownOctave2,uniE43E,525
woodwindHigherOvertoneOctave,uniE43F,526
